Name,Dense Accuracy,Pruned Accuracy
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_test_acc_56.49.pth,56.49,19.66
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_test_acc_56.61.pth,56.61,18.564999999999998
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_32_bs_test_acc_50.43.pth,50.43,46.07
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_test_acc_56.68.pth,56.68,24.825
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_test_acc_56.81.pth,56.81,20.48
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_test_acc_56.08.pth,56.08,24.310000000000002
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_32_bs_test_acc_51.13.pth,51.13,47.55
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_32_bs_test_acc_50.35.pth,50.35,46.65
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_32_bs_test_acc_50.27.pth,50.27,46.07
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_32_bs_test_acc_51.75.pth,51.75,48.504999999999995
